FASTRESS-ID,apple_g_pre,apple_pcs_pre,cake_g_pre,cake_pcs_pre,chocolate_g_pre,chocolate_pcs_pre,nuts_g_pre,nuts_pcs_pre,cracker_g_pre,cracker_pcs_pre,chips_g_pre,chips_pcs_pre,apple_g_post,apple_pcs_post,cake_g_post,cake_pcs_post,chocolate_g_post,chocolate_pcs_post,nuts_g_post,nuts_pcs_post,cracker_g_post,cracker_pcs_post,chips_g_post,chips_pcs_post,apple_order,cake_order,chocolate_order,nuts_order,cracker_order,chips_order,Notes
sub-001,123.0,19.0,50.0,6.0,31.0,6.0,31.0,12.0,19.0,4.0,32.0,13.0,0.0,0.0,32.0,4.0,5.0,1.0,25.0,10.0,0.0,0.0,17.0,7.0,5,6,4,2,1,3,
sub-006,127.0,21.0,45.0,6.0,30.0,6.0,31.0,12.0,19.0,4.0,32.0,13.0,120.0,20.0,41.0,5.0,25.0,5.0,28.0,11.0,17.0,3.5,30.0,12.0,2,6,3,4,5,1,
sub-007,121.0,19.0,47.0,6.0,31.0,6.0,29.0,12.0,19.0,4.0,31.0,13.0,11.0,2.0,0.0,0.0,22.0,4.0,19.0,8.0,5.0,1.0,0.0,0.0,4,6,5,2,3,1,
sub-002,120.0,18.0,54.0,6.0,30.0,6.0,29.0,12.0,19.0,4.0,31.0,13.0,0.0,0.0,45.0,5.0,16.0,3.0,0.0,0.0,15.0,3.0,26.0,11.0,3,4,2,1,5,6,
sub-005,119.0,21.0,52.0,6.0,29.0,6.0,28.0,12.0,19.0,4.0,32.0,13.0,112.0,20.0,41.0,5.0,22.0,5.0,24.0,10.0,15.0,3.0,27.0,11.0,1,6,2,3,5,4,
sub-003,120.0,21.0,41.0,6.0,30.0,6.0,25.0,12.0,19.0,4.0,32.0,13.0,83.0,15.0,35.0,5.0,25.0,5.0,23.0,11.0,14.0,3.0,5.0,2.0,6,1,5,2,4,3,
sub-008,126.0,24.0,45.0,6.0,29.0,6.0,28.0,12.0,19.0,4.0,37.0,13.0,75.0,15.0,0.0,0.0,26.0,5.0,20.0,9.0,0.0,0.0,0.0,0.0,1,5,6,2,3,4,
sub-009,137.0,26.0,69.0,6.0,30.0,6.0,31.0,12.0,19.0,4.0,37.0,13.0,77.0,13.0,33.0,3.0,27.0,5.0,13.0,6.0,15.0,3.0,20.0,7.0,1,4,6,5,3,2,
sub-015,103.0,23.0,47.0,6.0,28.0,6.0,28.0,12.0,19.0,4.0,37.0,13.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,10.0,4.0,18.0,7.0,2,1,4,3,6,5,
sub-016,117.0,7.0,47.0,6.0,29.0,6.0,30.0,12.0,17.0,4.0,34.0,13.0,87.0,5.0,31.0,4.0,20.0,4.0,19.0,8.0,14.0,3.0,30.0,12.0,1,2,5,3,4,6,Apple pieces were not counted but 3/4 of an apple was administered with an equivalent of 120g. It was estimated that 2 pieces were eaten between pre and post
