FASTRESS-ID,apple_g_pre,apple_pcs_pre,cake_g_pre,cake_pcs_pre,chocolate_g_pre,chocolate_pcs_pre,nuts_g_pre,nuts_pcs_pre,cracker_g_pre,cracker_pcs_pre,chips_g_pre,chips_pcs_pre,apple_g_post,apple_pcs_post,cake_g_post,cake_pcs_post,chocolate_g_post,chocolate_pcs_post,nuts_g_post,nuts_pcs_post,cracker_g_post,cracker_pcs_post,chips_g_post,chips_pcs_post,apple_order,cake_order,chocolate_order,nuts_order,cracker_order,chips_order,Notes
sub-024,112.0,22.0,46.0,6.0,31.0,6.0,30.0,12.0,19.0,4.0,35.0,13.0,74.0,14.0,0.0,0.0,24.0,4.5,25.0,11.0,14.0,3.0,16.0,6.0,2,3,4,6,5,1,
sub-020,108.0,24.0,52.0,6.0,30.0,6.0,32.0,12.0,19.0,4.0,34.0,13.0,46.0,11.0,17.0,2.0,26.0,5.0,14.0,5.0,15.0,3.0,6.0,2.0,1,4,6,5,3,2,
sub-018,123.0,16.0,51.0,6.0,34.0,6.0,31.0,12.0,19.0,4.0,34.0,13.0,90.0,12.0,42.0,5.0,33.0,5.5,25.0,10.0,14.0,3.0,14.0,5.0,5,2,3,1,4,6,
sub-019,133.0,16.0,55.0,6.0,30.0,6.0,36.0,12.0,19.0,6.0,34.0,13.0,118.0,14.0,0.0,0.0,9.0,2.0,22.0,8.0,4.0,1.0,13.0,5.0,2,1,4,3,5,6,
sub-022,123.0,15.0,53.0,6.0,32.0,6.0,28.0,12.0,20.0,4.0,39.0,13.0,102.0,12.0,16.0,2.0,21.0,4.0,26.0,11.0,15.0,3.0,34.0,11.0,5,2,6,4,1,3,
sub-051,123.0,16.0,54.0,6.0,30.0,6.0,30.0,12.0,19.0,4.0,31.0,13.0,26.0,4.0,31.0,3.0,19.0,4.0,0.0,0.0,9.0,2.0,7.0,3.0,3,3,2,5,1,6,
sub-004,101.0,16.0,47.0,6.0,28.0,6.0,30.0,12.0,20.0,4.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,1,6,2,3,4,5,
sub-053,120.0,20.0,47.0,6.0,29.0,6.0,28.0,12.0,19.0,4.0,31.0,13.0,89.0,14.0,30.0,4.0,25.0,5.0,25.0,10.0,15.0,3.0,26.0,11.0,6,5,3,1,2,4,
sub-054,119.0,19.0,45.0,6.0,32.0,6.0,33.0,12.0,19.0,4.0,31.0,13.0,87.0,15.0,15.0,2.0,24.0,5.0,11.0,5.0,16.0,3.0,19.0,9.0,4,2,5,1,3,6,
sub-027,105.0,24.0,53.0,6.0,29.0,6.0,28.0,12.0,20.0,4.0,31.0,13.0,0.0,0.0,43.0,5.0,19.0,4.0,13.0,6.0,0.0,0.0,22.0,9.0,3,5,6,2,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
