FASTRESS-ID,apple_g_pre,apple_pcs_pre,cake_g_pre,cake_pcs_pre,chocolate_g_pre,chocolate_pcs_pre,nuts_g_pre,nuts_pcs_pre,cracker_g_pre,cracker_pcs_pre,chips_g_pre,chips_pcs_pre,apple_g_post,apple_pcs_post,cake_g_post,cake_pcs_post,chocolate_g_post,chocolate_pcs_post,nuts_g_post,nuts_pcs_post,cracker_g_post,cracker_pcs_post,chips_g_post,chips_pcs_post,apple_order,cake_order,chocolate_order,nuts_order,cracker_order,chips_order,Notes
sub-029,132.0,15.0,49.0,6.0,32.0,6.0,31.0,12.0,19.0,4.0,38.0,13.0,95.0,11.0,33.0,4.0,27.0,5.0,24.0,9.0,15.0,3.0,32.0,11.0,1,3,2,6,5,4,
sub-030,119.0,16.0,51.0,6.0,30.0,6.0,29.0,12.0,19.0,4.0,37.0,13.0,106.0,15.0,42.0,5.0,25.0,5.0,28.0,11.0,14.0,3.0,35.0,12.0,1,6,5,4,3,2,
sub-031,114.0,15.0,54.0,6.0,31.0,6.0,30.0,12.0,20.0,4.0,38.0,13.0,65.0,9.0,35.0,4.0,20.0,4.0,20.0,9.0,10.0,2.0,21.0,7.0,1,3,2,5,4,6,
sub-033,117.0,16.0,51.0,6.0,32.0,6.0,27.0,12.0,19.0,4.0,36.0,13.0,112.0,15.0,48.0,5.0,27.0,5.0,26.0,11.0,15.0,3.0,34.0,12.0,1,2,6,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
